x,y
20,270
20.00001049,279.9971313
20.00001005,289.9942627
20.00000962,299.991394
20.00000918,309.9884949
20.00000874,319.9856262
20.00000831,329.9827576
20.00000787,339.9798584
20.00000743,349.9769897
20.00000699,359.9741211
20.00000656,369.9712524
20.00000612,379.9683838
20.00000568,389.9655151
20.00000525,399.962616
20.00000481,409.9597473
20.00000437,419.9568481
20.00000394,429.9539795
20.0000035,439.9511108
20.00000306,449.9482422
20.00000263,459.9453735
20.00000219,469.9425049
20.00000175,479.9396362
20.00000131,489.9367371
20.00000088,499.9338684
20.00000044,509.9309998
20,519.9281006
29.92523193,520
39.92236328,520
49.91949463,520
59.91662598,520
69.91372681,520
79.91085815,520
89.9079895,520
99.90512085,520
109.9022522,520
119.899353,520
129.8964844,520
139.8936157,520
149.8907471,520
159.8878784,520
169.8849792,520
179.8821106,520
189.8792419,520
199.8763733,520
209.8734741,520
219.8706055,520
229.8677368,520
239.8648682,520
249.8619995,520
259.8591003,520
269.8562317,520
279.853363,520
289.8504639,520
299.8475952,520
309.8447266,520
319.8418579,520
329.8389893,520
339.8361206,520
349.833252,520
359.8303833,520
369.8274536,520
379.824585,520
389.8217163,520
399.8188477,520
409.815979,520
419.8131104,520
429.8102417,520
439.807373,520
449.8045044,520
459.8016357,520
469.7987061,520
479.7958374,520
489.7929688,520
499.7901001,520
509.7872314,520
519.7843628,520
529.7814941,520
539.7786255,520
549.7757568,520
559.7728271,520
569.7699585,520
579.7670898,520
589.7642212,520
599.7613525,520
609.7584839,520
619.7556152,520
629.7527466,520
639.7498779,520
649.7469482,520
659.7440796,520
669.7412109,520
679.7383423,520
689.7354736,520
699.732605,520
709.7297363,520
719.7268677,520
729.723999,520
739.7210693,520
749.7182007,520
759.715332,520
769.7124634,520
779.7095947,520
789.7067261,520
799.7038574,520
809.7009277,520
819.6981201,520
820,510.3048096
820,500.3076172
820,490.3105469
820,480.3133545
820,470.3162842
820,460.3192139
820,450.3220215
820,440.3249512
820,430.3277588
820,420.3306885
820,410.3334961
820,400.3364258
820,390.3392334
820,380.3421631
820,370.3450928
820,360.3479004
820,350.3508301
820,340.3536377
820,330.3565674
820,320.359375
820,310.3623047
820,300.3651123
820,290.368042
820,280.3708496
820,270.3737793
820,260.376709
820,250.3795166
820,240.3824463
820,230.3852539
820,220.3881836
820,210.3909912
820,200.3939209
820,190.3967285
820,180.3996582
820,170.4025879
820,160.4053955
820,150.4083252
820,140.4111328
820,130.4140625
820,120.4168701
820,110.4197998
820,100.4226074
820,90.42553711
820,80.4284668
820,70.43127441
820,60.4342041
820,50.43701172
820,40.43994141
820,30.44274902
820,20.44567871
810.4484863,20.00003413
800.451416,20.00003326
790.4543457,20.00003239
780.4571533,20.00003151
770.460083,20.00003064
760.4628906,20.00002976
750.4658203,20.00002889
740.4686279,20.00002802
730.4715576,20.00002714
720.4743652,20.00002627
710.4772949,20.00002539
700.4802246,20.00002452
690.4830322,20.00002365
680.4859619,20.00002277
670.4887695,20.0000219
660.4916992,20.00002102
650.4945068,20.00002015
640.4974365,20.00001928
630.5002441,20.0000184
620.5031738,20.00001753
610.5061035,20.00001665
600.5089111,20.00001578
590.5118408,20.00001491
580.5146484,20.00001403
570.5175781,20.00001316
560.5203857,20.00001228
550.5233154,20.00001141
540.526123,20.00001054
530.5290527,20.00000966
520.5319824,20.00000879
510.53479,20.00000791
500.5377197,20.00000704
490.5405273,20.00000617
480.543457,20.00000529
470.5462646,20.00000442
460.5491943,20.00000354
450.552002,20.00000267
440.5549316,20.0000018
430.5578613,20.00000092
420.5606689,20.00000005
410.5635986,20.00003414
400.5664063,20.00003327
390.5693359,20.0000324
380.5721436,20.00003152
370.5750732,20.00003065
360.5778809,20.00002977
350.5808105,20.0000289
340.5837402,20.00002803
330.5865479,20.00002715
320.5893555,20.00002628
310.5922852,20.0000254
300.5952148,20.00002453
290.5981445,20.00002366
280.6008301,20.00002278
270.6037598,20.00002191
260.6066895,20.00002103
250.6096191,20.00002016
240.6125488,20.00001929
230.6152344,20.00001841
220.6181641,20.00001754
210.6210938,20.00001666
200.6240234,20.00001579
190.626709,20.00001492
180.6296387,20.00001404
170.6325684,20.00001317
160.635498,20.00001229
150.6384277,20.00001142
140.6411133,20.00001055
130.644043,20.00000967
120.6469727,20.0000088
110.6499023,20.00000792
100.6525879,20.00000705
90.65551758,20.00000618
80.65844727,20.0000053
70.66137695,20.00000443
60.66430664,20.00000355
50.66699219,20.00000268
40.66992188,20.00000181
30.67285156,20.00000093
20.67578125,20.00000006
20.00001052,29.3215332
20.00001008,39.31860352
20.00000965,49.31567383
20.00000921,59.31274414
20.00000877,69.30981445
20.00000834,79.30712891
20.0000079,89.30419922
20.00000746,99.30126953
20.00000702,109.2983398
20.00000659,119.2956543
20.00000615,129.2927246
20.00000571,139.2897949
20.00000528,149.2868652
20.00000484,159.2839355
20.0000044,169.28125
20.00000397,179.2783203
20.00000353,189.2753906
20.00000309,199.2724609
20.00000265,209.2697754
20.00000222,219.2668457
20.00000178,229.263916
20.00000134,239.2609863
20.00000091,249.2583008
20.00000047,259.2553711
20.00000003,269.2524414
511.6183777,149.3391571
521.0895996,152.4997406
528.7306519,158.664978
528.5529175,168.3817749
524.0687561,177.2904053
518.0395813,185.2537384
510.9385376,192.2771301
502.5547485,197.6448059
495.5559692,194.0273895
499.7090759,186.1650085
501.8070679,187.2629547
503.6824646,177.4509125
504.0910034,167.4730682
502.5996399,157.6110382
497.7055969,149.0401154
502.026886,147.1271439
367.1212158,148.3943634
358.132782,152.3276672
348.3540955,154.4017181
341.9627991,151.7818756
351.4232788,148.6924133
360.7958984,145.4748154
506.0479126,156.6312714
507.711853,166.473999
507.8701782,176.4630585
506.7654419,186.3917084
512.252655,184.353775
518.7145996,176.7442932
523.5314636,168.012146
522.3918762,159.0449066
513.2641907,155.0342255
504.6992188,152.7885437
415.3491821,162.6234436
415.4299316,172.6168213
414.8707886,182.5973663
419.8123779,188.9620209
423.9243164,197.9641266
417.7668457,196.1984558
413.1930847,196.2406921
409.5440369,205.4213562
400.0949097,205.4129486
394.0019531,198.0667267
395.7118225,188.4943085
404.4294739,188.4723206
399.0284119,191.6574707
400.8426208,200.4965668
406.6954346,194.1226349
410.6099243,185.1094513
411.4088745,175.1479492
411.4844666,165.1530914
410.6192627,155.2011414
358.0977173,159.4973907
359.4804993,169.3712616
359.265686,179.3614044
358.1725159,189.2962341
356.5180359,199.1547699
355.6375732,209.1050262
354.8382568,218.8175812
349.755249,212.8994904
350.9084167,202.9762726
352.665863,193.1346893
354.3240967,183.2770844
355.2132874,173.3253326
354.5796509,163.361618
355.5630493,155.3008575
224.69104,165.6107788
224.4408722,175.6018372
223.6327515,185.5655975
222.8960724,195.5351868
222.3608093,205.518158
221.4049683,215.464386
217.0157471,224.1539001
213.7580566,218.2442474
216.4581604,208.6779785
217.8527374,198.778595
216.1308594,193.4696045
206.4046326,195.4762115
203.1694336,203.5905762
201.353241,213.4155426
197.253418,222.4028015
193.4851227,216.6878204
196.6954498,207.2385254
198.7619019,197.4596863
200.2242432,187.5709839
201.1414642,177.6175232
201.3097076,167.6262665
201.5989227,158.0165405
205.3944244,166.119278
205.5900421,176.1074371
204.9387665,186.0825958
209.7786407,189.915863
217.9310913,186.8653412
219.9932709,178.9434814
220.563385,168.9638062
220.2235413,158.9854126
471.3910217,174.0065765
